time	group	action
1386328373095	k2	seek_start
1386328373204	k2	seek_end
1386328374822	k2	seek_start
1386328374942	k2	seek_end
1386328376752	k2	seek_start
1386328377331	k2	seek_end
1386328418658	k2	saveannotation toc
1386328418664	k2	videoplayed
1386328660639	k2	seek_start
1386328662559	k2	seek_end
1386328669583	k2	seek_start
1386328669766	k2	seek_end
1386328673912	k2	seek_start
1386328674054	k2	seek_end
1386328675277	k2	seek_start
1386328675471	k2	seek_end
1386328700114	k2	videopaused
1386328712106	k2	saveannotation toc
1386328712111	k2	videoplayed
1386328754598	k2	saveannotation toc
1386328754603	k2	videopaused
1386328756497	k2	clicktocfromlist
1386328760510	k2	seek_start
1386328760594	k2	seek_end
1386328763894	k2	clicktocfromlist
1386328766513	k2	clicktocfromlist
1386328769038	k2	seek_start
1386328769156	k2	seek_end
1386328779875	k2	videopaused
1386328796330	k2	saveannotation toc
1386328796335	k2	videoplayed
1386328939019	k2	seek_start
1386328939138	k2	seek_end
1386328948655	k2	seek_start
1386328948775	k2	seek_end
1386328952201	k2	seek_start
1386328952336	k2	seek_end
1386328969798	k2	seek_start
1386328970596	k2	seek_end
1386328979751	k2	videopaused
1386328983461	k2	videoplayed
1386329014518	k2	saveannotation toc
1386329014524	k2	videoplayed
1386329026239	k2	seek_start
1386329026466	k2	seek_end
1386329109415	k2	seek_start
1386329109523	k2	seek_end
1386329118840	k2	seek_start
1386329118987	k2	seek_end
1386329148750	k2	saveannotation toc
1386329148756	k2	videoplayed
1386329155985	k2	clicktocfromlist
1386329163397	k2	seek_start
1386329163520	k2	seek_end
1386329189070	k2	saveannotation toc
1386329189076	k2	videoplayed
1386329252732	k2	saveannotation toc
1386329252737	k2	videopaused
1386329256018	k2	videoplayed
1386329260697	k2	seek_start
1386329260857	k2	seek_end
1386329262472	k2	seek_start
1386329262591	k2	seek_end
1386329264278	k2	seek_start
1386329264563	k2	seek_end
1386329267497	k2	seek_start
1386329267542	k2	seek_end
1386329269871	k2	seek_start
1386329269953	k2	seek_end
1386329276722	k2	seek_start
1386329276863	k2	seek_end
1386329283928	k2	seek_start
1386329284046	k2	seek_end
1386329286892	k2	seek_start
1386329287013	k2	seek_end
1386329289747	k2	seek_start
1386329289863	k2	seek_end
1386329292913	k2	seek_start
1386329292995	k2	seek_end
1386329295336	k2	seek_start
1386329295447	k2	seek_end
1386329297730	k2	seek_start
1386329297858	k2	seek_end
1386329353968	k2	videoended
1386329353975	k2	videoended
1386332946187	k1	loadvideo
1386333050247	k1	loadvideo
1386334143407	k2	loadvideo
1386334148201	k2	videopaused
1386334163547	k2	clickassessmentfromlist
1386334164067	k2	assessmentdisplaybegin
1386334164909	k2	clickassessmentfromlist
1386334165092	k2	clickassessmentfromlist
1386334166381	k2	clickassessmentfromlist
1386334166592	k2	clickassessmentfromlist
1386334199667	k2	clickassessmentfromlist
1386334199883	k2	clickassessmentfromlist
1386334200100	k2	clickassessmentfromlist
1386334200215	k2	assessmentdisplaybegin
1386334204265	k2	clickassessmentfromlist
1386334206674	k2	clickassessmentfromlist
1386334206842	k2	assessmentdisplaybegin
1386334213016	k2	clickassessmentfromlist
1386334213536	k2	clickassessmentfromlist
1386334213779	k2	clickassessmentfromlist
1386334214015	k2	clickassessmentfromlist
1386334214634	k2	clickassessmentfromlist
1386334214876	k2	clickassessmentfromlist
1386334215124	k2	clickassessmentfromlist
1386334219573	k2	videopaused
1386335002843	k2	clickassessmentfromlist
1386335003357	k2	assessmentdisplaybegin
1386336416880	003	loadvideo
1386336448220	013	loadvideo
1386336486620	k2	loadvideo
1386336889472	k2	loadvideo
1386336909836	k2	saveannotation assessment
1386336909846	k2	videoplayed
1386336910358	k2	assessmentdisplaybegin
1386337048110	k2	saveannotation comments
1386337048114	k2	videoplayed
1386337054057	k2	clickassessmentfromlist
1386337054182	k2	assessmentdisplaybegin
1386337054293	k2	clickassessmentfromlist
1386337064720	k2	videopaused
1386340573933	013	loadvideo
1386340604538	013	seek_start
1386340604631	013	seek_end
1386340663272	013	seek_start
1386340663334	013	seek_end
1386341338095	k2	loadvideo
1386341358859	k2	videopaused
1386341375333	k1	loadvideo
1386341408122	k1	loadvideo
1386341438823	k1	videopaused
1386341503886	k1	videoplayed
1386341642227	k1	loadvideo
1386341701390	003	loadvideo
1386341796018	k1	loadvideo
1386341925833	003	videoplayed
1386342031534	k1	loadvideo
1386342042407	k1	loadvideo
1386342092524	k1	videopaused
1386342176209	003	loadvideo
1386342178860	k1	videoplayed
1386342324495	k1	seek_start
1386342324604	k1	seek_end
1386342326585	k1	seek_start
1386342326710	k1	seek_end
1386342366188	003	seek_start
1386342366694	003	seek_end
1386342368314	003	seek_start
1386342369116	003	seek_end
1386342370288	003	seek_start
1386342370830	003	seek_end
1386342401936	k1	videoplayed
1386342446926	003	seek_start
1386342447367	003	seek_end
1386342448273	003	seek_start
1386342448849	003	seek_end
1386342450212	003	seek_start
1386342450267	003	seek_end
