time	group	action
1386323361192	layout_decisions2	saveannotation toc
1386323361196	layout_decisions2	videoplayed
1386323376663	layout_decisions2	saveannotation toc
1386323376669	layout_decisions2	videopaused
1386323388001	layout_decisions2	saveannotation toc
1386323388006	layout_decisions2	videoplayed
1386323397995	layout_decisions2	saveannotation toc
1386323398001	layout_decisions2	videopaused
1386323402909	layout_decisions2	videoplayed
1386323437865	layout_decisions2	loadvideo
1386323475252	capacity_planing	loadvideo
1386323479075	capacity_planing	seek_start
1386323479138	capacity_planing	seek_end
1386323485853	dist_layout	loadvideo
1386323498247	traveling_salesman_problem	loadvideo
1386323487152	layout_decisions2	loadvideo
1386323504118	facility_location	loadvideo
1386323506730	facility_location	seek_start
1386323506816	facility_location	seek_end
1386323509761	facility_location	seek_start
1386323509848	facility_location	seek_end
1386323498423	layout_decisions2	clicktocfromlist
1386323500445	layout_decisions2	clicktocfromlist
1386323501768	layout_decisions2	clicktocfromlist
1386323503724	layout_decisions2	clicktocfromlist
1386323532356	layout_decisions2	clicktocfromlist
1386323535051	layout_decisions2	clicktocfromlist
1386323568144	layout_decisions2	clicktagfromlist
1386323570508	layout_decisions2	clicktagfromlist
1386323575075	layout_decisions2	seek_start
1386323575298	layout_decisions2	seek_end
1386323577613	layout_decisions2	seek_start
1386323578141	layout_decisions2	seek_end
1386323581955	layout_decisions2	seek_start
1386323582809	layout_decisions2	seek_end
1386323588595	layout_decisions2	seek_start
1386323589523	layout_decisions2	seek_end
1386323590732	layout_decisions2	seek_start
1386323591003	layout_decisions2	seek_end
1386323592251	layout_decisions2	seek_start
1386323592390	layout_decisions2	seek_end
1386323593692	layout_decisions2	seek_start
1386323593854	layout_decisions2	seek_end
1386323594942	layout_decisions2	seek_start
1386323595103	layout_decisions2	seek_end
1386323598066	layout_decisions2	seek_start
1386323598222	layout_decisions2	seek_end
1386323607403	layout_decisions2	clicktocfromlist
1386323608749	layout_decisions2	clicktocfromlist
1386323685299	layout_decisions2	videopaused
1386323688227	layout_decisions2	videoplayed
1386323703935	layout_decisions2	seek_start
1386323705255	layout_decisions2	seek_end
1386323723670	layout_decisions2	seek_start
1386323724349	layout_decisions2	seek_end
1386323730898	layout_decisions2	videopaused
1386323734826	layout_decisions2	videoplayed
1386323740291	layout_decisions2	seek_start
1386323741664	layout_decisions2	seek_end
1386323750730	layout_decisions2	videopaused
1386323776713	layout_decisions2	seek_start
1386323776946	layout_decisions2	seek_end
