forward	backward	user
2197	3502	palme
2197	3502	palme
2197	3502	palme
2197	3502	palme
2197	3502	palme
2197	3576	palme
2259	3576	palme
2259	3656	palme
2398	3656	palme
2398	3692	palme
2398	3692	palme
2398	3692	palme
2398	3692	palme
2398	3755	palme
2398	3755	palme
2398	3755	palme
2398	3755	palme
2398	3755	palme
2398	3755	palme
2398	3755	palme
2398	3755	palme
2444	3755	palme
2447	3755	palme
2507	3755	palme
2510	3755	palme
2560	3755	palme
2562	3755	palme
2608	3755	palme
2622	3755	palme
2622	3798	palme
2622	3798	palme
2622	3798	palme
2622	3798	palme
2622	3798	palme
2622	3798	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3847	palme
2622	3921	palme
2622	3921	palme
2622	3921	palme
2622	3921	palme
2622	3921	palme
2622	3921	palme
2622	6556	palme
2624	6556	palme
2810	6556	palme
2811	6556	palme
2921	6556	palme
2923	6556	palme
2978	6556	palme
2978	6556	palme
3094	6556	palme
3095	6556	palme
3122	6556	palme
3123	6556	palme
3238	6556	palme
3239	6556	palme
3363	6556	palme
3365	6556	palme
3421	6556	palme
3422	6556	palme
3613	6556	palme
3615	6556	palme
3666	6556	palme
3667	6556	palme
3704	6556	palme
3706	6556	palme
3790	6556	palme
3793	6556	palme
3844	6556	palme
3846	6556	palme
3901	6556	palme
3903	6556	palme
3997	6556	palme
3999	6556	palme
4041	6556	palme
4043	6556	palme
4043	8063	palme
4049	8063	palme
4049	8132	palme
4054	8132	palme
4054	8190	palme
4054	8190	palme
4054	8190	palme
4054	8190	palme
4054	8190	palme
4054	8190	palme
4054	8190	palme
4055	8190	palme
4184	8190	palme
4185	8190	palme
4285	8190	palme
4286	8190	palme
4463	8190	palme
4464	8190	palme
4559	8190	palme
4560	8190	palme
4751	8190	palme
4753	8190	palme
4823	8190	palme
4824	8190	palme
4934	8190	palme
4936	8190	palme
5006	8190	palme
5006	8190	palme
5006	8190	palme
5006	8246	palme
5006	8246	palme
5006	8246	palme
5006	8246	palme
5006	8246	palme
5007	8246	palme
5007	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5008	8385	palme
5009	8385	palme
5009	8385	palme
5011	8385	palme
5011	8385	palme
5013	8385	palme
5013	8385	palme
5014	8385	palme
5232	8385	palme
5232	8385	palme
5317	8385	palme
5317	8385	palme
5317	8385	palme
5317	10886	palme
5317	10886	palme
5317	10886	palme
5317	10886	palme
5317	10886	palme
5317	10886	palme
5317	10886	palme
5317	10886	palme
5317	10886	palme
5317	10886	palme
5317	10886	palme
0	0	sonnert
0	0	sonnert
21	0	sonnert
40	0	sonnert
119	0	sonnert
0	0	wetzel
0	0	wetzel
0	0	wetzel
0	0	wetzel
0	0	dettling
0	0	dettling
0	0	dettling
0	26	dettling
0	26	dettling
0	26	dettling
0	26	dettling
149	26	dettling
155	26	dettling
155	230	dettling
155	230	dettling
155	230	dettling
155	230	dettling
155	230	dettling
155	230	dettling
155	230	dettling
155	254	dettling
155	254	dettling
155	254	dettling
155	254	dettling
155	254	dettling
155	254	dettling
155	254	dettling
155	254	dettling
155	254	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	278	dettling
155	305	dettling
158	305	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	337	dettling
158	359	dettling
160	359	dettling
160	374	dettling
168	374	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	399	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	422	dettling
168	477	dettling
169	477	dettling
169	526	dettling
171	526	dettling
171	561	dettling
197	561	dettling
197	561	dettling
197	561	dettling
197	561	dettling
197	561	dettling
197	586	dettling
202	586	dettling
202	669	dettling
204	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	669	dettling
223	732	dettling
230	732	dettling
230	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
272	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
346	797	dettling
0	0	michel
0	0	michel
0	0	michel
0	0	michel
0	0	michel
11	0	michel
11	901	michel
14	901	michel
14	963	michel
14	963	michel
14	963	michel
14	963	michel
14	963	michel
14	963	michel
14	963	michel
14	963	michel
14	963	michel
14	963	michel
14	963	michel
14	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
59	963	michel
0	0	seiffart
0	0	seiffart
0	0	seiffart
0	0	seiffart
0	2279	seiffart
0	2279	seiffart
0	2279	seiffart
0	2279	seiffart
0	2279	seiffart
0	2279	seiffart
0	2279	seiffart
0	2279	seiffart
0	2279	seiffart
0	2311	seiffart
0	2311	seiffart
0	2311	seiffart
0	2311	seiffart
0	2311	seiffart
11	2311	seiffart
11	2311	seiffart
13	2311	seiffart
13	2311	seiffart
13	2311	seiffart
13	2311	seiffart
13	2311	seiffart
13	2311	seiffart
13	2311	seiffart
13	2311	seiffart
13	2311	seiffart
13	2311	seiffart
80	2311	seiffart
81	2311	seiffart
81	2311	seiffart
88	2311	seiffart
88	2311	seiffart
91	2311	seiffart
312	2311	seiffart
313	2311	seiffart
313	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2311	seiffart
314	2318	seiffart
314	2318	seiffart
314	2318	seiffart
314	2318	seiffart
314	2318	seiffart
314	2318	seiffart
0	0	viehl
0	0	viehl
0	0	viehl
0	0	viehl
0	0	viehl
0	0	viehl
