score	row	col	user
1017	1	480	xxx
1011	1	481	xxx
1016	1	482	xxx
1012	1	483	xxx
1016	1	484	xxx
1014	1	485	xxx
1013	1	486	xxx
1009	1	487	xxx
1143	1	488	xxx
991	1	489	xxx
999	1	490	xxx
988	1	491	xxx
998	1	492	xxx
992	1	493	xxx
983	1	494	xxx
982	1	495	xxx
984	1	496	xxx
978	1	497	xxx
982	1	498	xxx
977	1	499	xxx
979	1	500	xxx
977	1	501	xxx
977	1	502	xxx
976	1	503	xxx
978	1	504	xxx
975	1	505	xxx
976	1	506	xxx
972	1	507	xxx
975	1	508	xxx
973	1	509	xxx
976	1	510	xxx
975	1	511	xxx
983	1	512	xxx
976	1	513	xxx
976	1	514	xxx
973	1	515	xxx
973	1	516	xxx
967	1	517	xxx
973	1	518	xxx
969	1	519	xxx
974	1	520	xxx
966	1	521	xxx
968	1	522	xxx
972	1	523	xxx
967	1	524	xxx
963	1	525	xxx
965	1	526	xxx
963	1	527	xxx
969	1	528	xxx
969	1	529	xxx
966	1	530	xxx
966	1	531	xxx
967	1	532	xxx
963	1	533	xxx
963	1	534	xxx
963	1	535	xxx
963	1	536	xxx
969	1	537	xxx
971	1	538	xxx
967	1	539	xxx
963	1	540	xxx
972	1	541	xxx
968	1	542	xxx
964	1	543	xxx
962	1	544	xxx
962	1	545	xxx
960	1	546	xxx
964	1	547	xxx
961	1	548	xxx
960	1	549	xxx
960	1	550	xxx
960	1	551	xxx
960	1	552	xxx
962	1	553	xxx
962	1	554	xxx
960	1	555	xxx
960	1	556	xxx
960	1	557	xxx
960	1	558	xxx
960	1	559	xxx
960	1	560	xxx
964	1	561	xxx
965	1	562	xxx
962	1	563	xxx
960	1	564	xxx
962	1	565	xxx
960	1	566	xxx
963	1	567	xxx
962	1	568	xxx
963	1	569	xxx
963	1	570	xxx
961	1	571	xxx
961	1	572	xxx
967	1	573	xxx
962	1	574	xxx
964	1	575	xxx
965	1	576	xxx
965	1	577	xxx
961	1	578	xxx
965	1	579	xxx
961	1	580	xxx
965	1	581	xxx
961	1	582	xxx
963	1	583	xxx
961	1	584	xxx
963	1	585	xxx
961	1	586	xxx
962	1	587	xxx
968	1	588	xxx
964	1	589	xxx
960	1	590	xxx
962	1	591	xxx
958	1	592	xxx
966	1	593	xxx
959	1	594	xxx
963	1	595	xxx
961	1	596	xxx
964	1	597	xxx
961	1	598	xxx
959	1	599	xxx
961	1	600	xxx
960	1	601	xxx
960	1	602	xxx
958	1	603	xxx
958	1	604	xxx
964	1	605	xxx
958	1	606	xxx
956	1	607	xxx
958	1	608	xxx
958	1	609	xxx
954	1	610	xxx
955	1	611	xxx
955	1	612	xxx
955	1	613	xxx
952	1	614	xxx
952	1	615	xxx
952	1	616	xxx
956	1	617	xxx
955	1	618	xxx
952	1	619	xxx
952	1	620	xxx
957	1	621	xxx
953	1	622	xxx
955	1	623	xxx
951	1	624	xxx
960	1	625	xxx
952	1	626	xxx
950	1	627	xxx
950	1	628	xxx
950	1	629	xxx
952	1	630	xxx
952	1	631	xxx
952	1	632	xxx
950	1	633	xxx
950	1	634	xxx
951	1	635	xxx
949	1	636	xxx
951	1	637	xxx
955	1	638	xxx
953	1	639	xxx
951	1	640	xxx
952	1	641	xxx
952	1	642	xxx
952	1	643	xxx
951	1	644	xxx
949	1	645	xxx
950	1	646	xxx
948	1	647	xxx
948	1	648	xxx
950	1	649	xxx
955	1	650	xxx
952	1	651	xxx
951	1	652	xxx
949	1	653	xxx
950	1	654	xxx
946	1	655	xxx
946	1	656	xxx
946	1	657	xxx
946	1	658	xxx
947	1	659	xxx
945	1	660	xxx
945	1	661	xxx
945	1	662	xxx
945	1	663	xxx
945	1	664	xxx
946	1	665	xxx
945	1	666	xxx
945	1	667	xxx
945	1	668	xxx
949	1	669	xxx
947	1	670	xxx
946	1	671	xxx
947	1	672	xxx
945	1	673	xxx
951	1	674	xxx
947	1	675	xxx
945	1	676	xxx
949	1	677	xxx
949	1	678	xxx
951	1	679	xxx
947	1	680	xxx
945	1	681	xxx
952	1	682	xxx
947	1	683	xxx
946	1	684	xxx
944	1	685	xxx
944	1	686	xxx
944	1	687	xxx
946	1	688	xxx
945	1	689	xxx
948	1	690	xxx
946	1	691	xxx
947	1	692	xxx
945	1	693	xxx
954	1	694	xxx
944	1	695	xxx
948	1	696	xxx
945	1	697	xxx
950	1	698	xxx
944	1	699	xxx
944	1	700	xxx
943	1	701	xxx
944	1	702	xxx
944	1	703	xxx
944	1	704	xxx
942	1	705	xxx
949	1	706	xxx
943	1	707	xxx
943	1	708	xxx
941	1	709	xxx
941	1	710	xxx
941	1	711	xxx
941	1	712	xxx
941	1	713	xxx
941	1	714	xxx
941	1	715	xxx
943	1	716	xxx
945	1	717	xxx
943	1	718	xxx
943	1	719	xxx
941	1	720	xxx
945	1	721	xxx
942	1	722	xxx
943	1	723	xxx
941	1	724	xxx
941	1	725	xxx
949	1	726	xxx
947	1	727	xxx
944	1	728	xxx
944	1	729	xxx
948	1	730	xxx
944	1	731	xxx
942	1	732	xxx
943	1	733	xxx
943	1	734	xxx
945	1	735	xxx
945	1	736	xxx
943	1	737	xxx
943	1	738	xxx
943	1	739	xxx
944	1	740	xxx
944	1	741	xxx
943	1	742	xxx
941	1	743	xxx
942	1	744	xxx
942	1	745	xxx
940	1	746	xxx
945	1	747	xxx
941	1	748	xxx
941	1	749	xxx
941	1	750	xxx
941	1	751	xxx
945	1	752	xxx
941	1	753	xxx
941	1	754	xxx
940	1	755	xxx
938	1	756	xxx
940	1	757	xxx
938	1	758	xxx
942	1	759	xxx
939	1	760	xxx
939	1	761	xxx
940	1	762	xxx
941	1	763	xxx
940	1	764	xxx
941	1	765	xxx
940	1	766	xxx
942	1	767	xxx
939	1	768	xxx
941	1	769	xxx
937	1	770	xxx
935	1	771	xxx
935	1	772	xxx
935	1	773	xxx
937	1	774	xxx
936	1	775	xxx
935	1	776	xxx
932	1	777	xxx
933	1	778	xxx
937	1	779	xxx
932	1	780	xxx
931	1	781	xxx
931	1	782	xxx
938	1	783	xxx
934	1	784	xxx
931	1	785	xxx
933	1	786	xxx
933	1	787	xxx
929	1	788	xxx
930	1	789	xxx
928	1	790	xxx
930	1	791	xxx
930	1	792	xxx
928	1	793	xxx
929	1	794	xxx
927	1	795	xxx
927	1	796	xxx
930	1	797	xxx
928	1	798	xxx
928	1	799	xxx
927	1	800	xxx
929	1	801	xxx
927	1	802	xxx
932	1	803	xxx
926	1	804	xxx
928	1	805	xxx
926	1	806	xxx
934	1	807	xxx
928	1	808	xxx
932	1	809	xxx
926	1	810	xxx
932	1	811	xxx
928	1	812	xxx
926	1	813	xxx
926	1	814	xxx
926	1	815	xxx
926	1	816	xxx
926	1	817	xxx
927	1	818	xxx
929	1	819	xxx
925	1	820	xxx
929	1	821	xxx
925	1	822	xxx
927	1	823	xxx
925	1	824	xxx
927	1	825	xxx
926	1	826	xxx
929	1	827	xxx
928	1	828	xxx
924	1	829	xxx
924	1	830	xxx
