time	group	action
1386341642227	204	loadvideo
1386341701390	9	loadvideo
1386341796018	202	loadvideo
1386341925833	9	videoplayed
1386342031534	201	loadvideo
1386342042407	206	loadvideo
1386342092524	206	videopaused
1386342176209	9	loadvideo
1386342178860	206	videoplayed
1386342324495	206	seek
1386342324604	206	seek
1386342326585	206	seek
1386342326710	206	seek
1386342366188	9	seek
1386342366694	9	seek
1386342368314	9	seek
1386342369116	9	seek
1386342370288	9	seek
1386342370830	9	seek
1386342401936	206	videoplayed
1386342446926	9	seek
1386342447367	9	seek
1386342448273	9	seek
1386342448849	9	seek
1386342450212	9	seek
1386342450267	9	seek
1386342452359	9	seek
1386342452441	9	seek
1386342453239	9	seek
1386342453342	9	seek
1386342454481	9	seek
1386342454564	9	seek
1386342466597	9	seek
1386342466684	9	seek
1386342498373	9	seek
1386342498462	9	seek
1386342500730	9	seek
1386342500817	9	seek
1386342505341	9	seek
1386342505451	9	seek
1386342523471	9	seek
1386342523561	9	seek
1386342524735	9	seek
1386342524830	9	seek
1386342582218	206	saveannotation
1386342582234	206	videoplayed
1386342582749	206	assessmentdisplaybegin
1386342589098	206	videoplayed
1386342576523	10	loadvideo
1386342595993	206	clickassessmentfromlist
1386342596118	206	assessmentdisplaybegin
1386342601219	206	videoplayed
1386342679649	10	videopaused
1386342715642	9	seek
1386342715708	9	seek
1386342716451	9	seek
1386342716517	9	seek
1386342718393	9	seek
1386342718483	9	seek
1386342719278	9	seek
1386342719375	9	seek
1386342725580	9	seek
1386342725670	9	seek
1386342726293	9	seek
1386342726382	9	seek
1386342726960	9	seek
1386342727044	9	seek
1386342728061	9	seek
1386342728157	9	seek
1386342728865	9	seek
1386342728954	9	seek
1386342765033	9	seek
1386342765091	9	seek
1386342749354	206	saveannotation
1386342749354	206	videoplayed
1386342749868	206	assessmentdisplaybegin
1386342758932	206	videoplayed
1386342780218	9	seek
1386342780372	9	seek
1386342781056	9	seek
1386342781179	9	seek
1386342781764	9	seek
1386342781873	9	seek
1386342782530	9	seek
1386342782630	9	seek
1386342786197	9	seek
1386342786307	9	seek
1386342787057	9	seek
1386342787146	9	seek
1386342792052	9	seek
1386342792170	9	seek
1386342793160	9	seek
1386342793303	9	seek
1386342794180	9	seek
1386342794293	9	seek
1386342795011	9	seek
1386342795110	9	seek
1386342795738	9	seek
1386342795830	9	seek
1386342797660	9	seek
1386342797748	9	seek
1386342798410	9	seek
1386342798498	9	seek
1386342799086	9	seek
1386342799160	9	seek
1386342799881	9	seek
1386342799979	9	seek
1386342806133	9	seek
1386342806212	9	seek
1386342806903	9	seek
1386342806968	9	seek
1386342810951	9	seek
1386342811050	9	seek
1386342811820	9	seek
1386342811887	9	seek
1386342812894	9	seek
1386342813003	9	seek
1386342813944	9	seek
1386342814055	9	seek
1386342815907	9	seek
1386342816007	9	seek
1386342816703	9	seek
1386342816801	9	seek
1386342817528	9	seek
1386342817624	9	seek
1386342819369	9	seek
1386342819471	9	seek
1386342835860	9	seek
1386342835994	9	seek
1386342836639	9	seek
1386342836735	9	seek
1386342837355	9	seek
1386342837448	9	seek
1386342839430	9	seek
1386342839501	9	seek
1386342840104	9	seek
1386342840182	9	seek
1386342840930	9	seek
1386342841025	9	seek
1386342847785	9	seek
1386342847903	9	seek
1386342848781	9	seek
1386342848914	9	seek
1386342919349	206	videopaused
1386342964622	9	seek
1386342964731	9	seek
1386342966150	9	seek
1386342966269	9	seek
1386343071169	10	videoplayed
1386343098162	206	saveannotation
1386343098162	206	videoplayed
1386343098693	206	assessmentdisplaybegin
1386343102756	206	submitassessmenttask
1386343107062	206	videoplayed
1386343112241	206	videopaused
1386343113411	206	videoplayed
1386343114924	206	videopaused
1386343118769	10	videopaused
1386343252599	301	videoplayed
1386343257622	301	assessmentdisplaybegin
1386343257637	301	assessmentdisplaybegin
1386343257653	301	assessmentdisplaybegin
1386343257653	301	assessmentdisplaybegin
1386343266717	301	videoplayed
1386343376065	301	videoplayed
1386343495347	301	videoplayed
1386343522540	12	loadvideo
1386343534209	301	videopaused
1386343553147	301	videoplayed
1386343586673	301	videopaused
1386343615667	206	videoplayed
1386343634521	10	videoplayed
1386343673214	10	videopaused
1386343724829	12	videopaused
1386343769519	12	loadvideo
1386343771706	12	videopaused
1386343770766	206	videopaused
1386343821344	301	videoplayed
1386344074328	206	videoplayed
1386344144865	206	seek
1386344144974	206	seek
1386344174277	206	videopaused
1386344207474	206	videoplayed
1386344258766	206	seek
1386344258890	206	seek
1386344263508	206	videopaused
1386344355669	206	saveannotation
1386344355684	206	videoplayed
1386344356199	206	assessmentdisplaybegin
1386344359210	206	videoplayed
1386344396557	206	videopaused
1386344401845	206	seek
1386344402297	206	seek
1386344404849	206	videopaused
1386344436720	206	videoplayed
1386344438623	206	seek
1386344438732	206	seek
1386344467550	301	videopaused
1386344539336	206	saveannotation
1386344539352	206	videoplayed
1386344539867	206	assessmentdisplaybegin
1386344541786	206	videoplayed
1386344571445	301	videoplayed
1386344701816	206	seek
1386344701941	206	seek
1386344707210	206	seek
1386344707319	206	seek
1386344708988	206	seek
1386344709113	206	seek
1386344711110	206	seek
1386344711219	206	seek
1386344717288	206	seek
1386344717397	206	seek
1386344719160	206	seek
1386344719284	206	seek
1386344725852	206	videopaused
1386344794151	301	videopaused
1386344820061	206	saveannotation
1386344820061	206	videoplayed
1386344820576	206	assessmentdisplaybegin
1386344823166	206	seek
1386344823275	206	seek
1386344903200	206	seek
1386344903325	206	seek
1386344901139	301	videoplayed
1386344935132	301	videopaused
1386345048521	206	videopaused
1386345056024	206	seek
1386345056149	206	seek
1386345064918	206	videopaused
1386345104808	206	saveannotation
1386345104808	206	videoplayed
1386345105323	206	assessmentdisplaybegin
1386345106586	206	seek
1386345106695	206	seek
1386345110237	206	seek
1386345110361	206	seek
1386345112608	206	seek
1386345112733	206	seek
1386345114386	206	seek
1386345114511	206	seek
1386345119035	206	seek
1386345119160	206	seek
1386345123325	206	seek
1386345123450	206	seek
1386345125391	206	seek
1386345125516	206	seek
1386345127575	206	seek
1386345127700	206	seek
1386345129385	206	seek
1386345129510	206	seek
1386345131865	206	seek
1386345131974	206	seek
1386345133285	206	seek
1386345133394	206	seek
1386345138371	206	seek
1386345138480	206	seek
1386345140211	206	seek
1386345140336	206	seek
1386345143066	206	seek
1386345143175	206	seek
1386345159059	301	videoplayed
1386345196541	206	videoended
1386345196557	206	videoended
1386345246770	206	seek
1386345246894	206	seek
1386345366080	206	saveannotation
1386345366080	206	videoplayed
1386345366595	206	assessmentdisplaybegin
1386345592503	10	loadvideo
1386345601463	10	videopaused
1386345627639	10	loadvideo
1386345629860	10	videopaused
1386346710108	301	videopaused
1386346762798	301	videoplayed
1386346908233	301	videopaused
1386346928685	301	seek
1386346928857	301	seek
1386346930479	301	seek
1386346930620	301	seek
1386346932320	301	seek
1386346932507	301	seek
1386347137551	301	videopaused
1386347162152	301	videoplayed
1386347196274	301	videopaused
1386347487098	301	videoplayed
1386347613117	301	videopaused
1386347696999	301	videoplayed
1386348027062	301	videopaused
1386348105747	301	videoplayed
1386348144224	301	videopaused
1386348163397	301	videoplayed
1386348410523	301	videopaused
1386348492509	301	videoplayed
1386348863412	301	videopaused
1386348909476	301	videoplayed
1386349016805	301	videopaused
1386349050225	301	videoplayed
1386349267101	301	videoended
1386349267101	301	videoended
1386349268240	301	seek
1386349269082	301	seek
1386349296830	301	videopaused
1386349325690	301	videoplayed
1386349404777	301	videoended
1386349404777	301	videoended
1386349509936	303	loadvideo
1386349617973	303	videopaused
1386349676535	303	videoplayed
1386349873178	303	videopaused
1386349961818	303	videoplayed
1386350151833	303	videopaused
1386350678761	303	videoplayed
1386350868924	303	videopaused
1386350960887	303	videoplayed
1386351125509	303	videopaused
1386355723269	6	loadvideo
1386355747298	6	seek
1386355750129	6	seek
1386355760075	6	seek
1386355761235	6	seek
1386355761541	6	videopaused
1386356573935	6	videoplayed
1386356695765	6	seek
1386356696659	6	seek
1386356710956	6	seek
1386356711561	6	seek
1386356754563	6	loadvideo
1386356952529	1	loadvideo
1386356965189	1	videopaused
1386357666135	1	videoplayed
1386357675214	1	seek
1386357675312	1	seek
1386357677737	1	seek
1386357677871	1	seek
1386357679575	1	seek
1386357679983	1	seek
1386357703631	303	videoplayed
1386357806446	1	videopaused
